One=0, Two=0, Three=0, Four=0 Generation=268 4 guns alive
One=0, Two=0, Three=0, Four=1 Generation=2671 All guns dead
One=0, Two=0, Three=0, Four=2 Generation=1321 All guns dead
One=0, Two=0, Three=0, Four=3 Generation=4658 1 gun alive
One=0, Two=0, Three=0, Four=4 Generation=7360 1 gun alive
One=0, Two=0, Three=0, Four=5 Generation=1681 All guns dead
One=0, Two=0, Three=0, Four=6 Generation=1741 All guns dead
One=0, Two=0, Three=0, Four=7 Generation=3601 All guns dead
One=0, Two=0, Three=0, Four=8 Generation=1959 All guns dead
One=0, Two=0, Three=0, Four=9 Generation=1900 All guns dead
One=0, Two=0, Three=0, Four=10 Generation=4774 1 gun alive
One=0, Two=0, Three=0, Four=11 Generation=1981 All guns dead
One=0, Two=0, Three=0, Four=12 Generation=1981 All guns dead
One=0, Two=0, Three=1, Four=0 Generation=2671 All guns dead
One=0, Two=0, Three=1, Four=1 Generation=279 4 guns alive
One=0, Two=0, Three=1, Four=2 Generation=257 4 guns alive
One=0, Two=0, Three=1, Four=3 Generation=2284 All guns dead
One=0, Two=0, Three=1, Four=4 Generation=2435 All guns dead
One=0, Two=0, Three=1, Four=5 Generation=286 4 guns alive
One=0, Two=0, Three=1, Four=6 Generation=2942 All guns dead
One=0, Two=0, Three=1, Four=7 Generation=4718 All guns dead
One=0, Two=0, Three=1, Four=8 Generation=1381 All guns dead
One=0, Two=0, Three=1, Four=9 Generation=2614 1 gun alive
One=0, Two=0, Three=1, Four=10 Generation=5341 All guns dead
One=0, Two=0, Three=1, Four=11 Generation=309 4 guns alive
One=0, Two=0, Three=1, Four=12 Generation=3091 All guns dead
One=0, Two=0, Three=2, Four=0 Generation=1321 All guns dead
One=0, Two=0, Three=2, Four=1 Generation=257 4 guns alive
One=0, Two=0, Three=2, Four=2 Generation=253 4 guns alive
One=0, Two=0, Three=2, Four=3 Generation=1684 All guns dead
One=0, Two=0, Three=2, Four=4 Generation=2041 All guns dead
One=0, Two=0, Three=2, Four=5 Generation=3241 All guns dead
One=0, Two=0, Three=2, Four=6 Generation=5317 All guns dead
One=0, Two=0, Three=2, Four=7 Generation=2161 All guns dead
One=0, Two=0, Three=2, Four=8 Generation=3573 All guns dead
One=0, Two=0, Three=2, Four=9 Generation=1761 1 gun alive
One=0, Two=0, Three=2, Four=10 Generation=2583 All guns dead
One=0, Two=0, Three=2, Four=11 Generation=2671 All guns dead
One=0, Two=0, Three=2, Four=12 Generation=2851 All guns dead
One=0, Two=0, Three=3, Four=0 Generation=4658 1 gun alive
One=0, Two=0, Three=3, Four=1 Generation=2284 All guns dead
One=0, Two=0, Three=3, Four=2 Generation=1684 All guns dead
One=0, Two=0, Three=3, Four=3 Generation=10324 All guns dead
One=0, Two=0, Three=3, Four=4 Generation=4509 1 gun alive
One=0, Two=0, Three=3, Four=5 Generation=3786 All guns dead
One=0, Two=0, Three=3, Four=6 Generation=5167 All guns dead
One=0, Two=0, Three=3, Four=7 Generation=7231 All guns dead
One=0, Two=0, Three=3, Four=8 Generation=5281 All guns dead
One=0, Two=0, Three=3, Four=9 Generation=1804 All guns dead
One=0, Two=0, Three=3, Four=10 Generation=4891 All guns dead
One=0, Two=0, Three=3, Four=11 Generation=2221 All guns dead
One=0, Two=0, Three=3, Four=12 Generation=4084 1 gun alive
One=0, Two=0, Three=4, Four=0 Generation=7360 1 gun alive
One=0, Two=0, Three=4, Four=1 Generation=2435 All guns dead
One=0, Two=0, Three=4, Four=2 Generation=2041 All guns dead
One=0, Two=0, Three=4, Four=3 Generation=4509 1 gun alive
One=0, Two=0, Three=4, Four=4 Generation=388 4 guns alive
One=0, Two=0, Three=4, Four=5 Generation=1925 All guns dead
One=0, Two=0, Three=4, Four=6 Generation=3601 All guns dead
One=0, Two=0, Three=4, Four=7 Generation=9975 1 gun alive
One=0, Two=0, Three=4, Four=8 Generation=265 4 guns alive
One=0, Two=0, Three=4, Four=9 Generation=2331 2 guns alive
One=0, Two=0, Three=4, Four=10 Generation=2051 All guns dead
One=0, Two=0, Three=4, Four=11 Generation=4872 All guns dead
One=0, Two=0, Three=4, Four=12 Generation=282 4 guns alive
One=0, Two=0, Three=5, Four=0 Generation=1681 All guns dead
One=0, Two=0, Three=5, Four=1 Generation=286 4 guns alive
One=0, Two=0, Three=5, Four=2 Generation=3241 All guns dead
One=0, Two=0, Three=5, Four=3 Generation=3786 All guns dead
One=0, Two=0, Three=5, Four=4 Generation=1925 All guns dead
One=0, Two=0, Three=5, Four=5 Generation=1266 All guns dead
One=0, Two=0, Three=5, Four=6 Generation=3298 1 gun alive
One=0, Two=0, Three=5, Four=7 Generation=3968 All guns dead
One=0, Two=0, Three=5, Four=8 Generation=5979 All guns dead
One=0, Two=0, Three=5, Four=9 Generation=2226 All guns dead
One=0, Two=0, Three=5, Four=10 Generation=6601 All guns dead
One=0, Two=0, Three=5, Four=11 Generation=1591 All guns dead
One=0, Two=0, Three=5, Four=12 Generation=2473 All guns dead
One=0, Two=0, Three=6, Four=0 Generation=1741 All guns dead
One=0, Two=0, Three=6, Four=1 Generation=2942 All guns dead
One=0, Two=0, Three=6, Four=2 Generation=5317 All guns dead
One=0, Two=0, Three=6, Four=3 Generation=5167 All guns dead
One=0, Two=0, Three=6, Four=4 Generation=3601 All guns dead
One=0, Two=0, Three=6, Four=5 Generation=3298 1 gun alive
One=0, Two=0, Three=6, Four=6 Generation=278 4 guns alive
One=0, Two=0, Three=6, Four=7 Generation=908 All guns dead
One=0, Two=0, Three=6, Four=8 Generation=1321 All guns dead
One=0, Two=0, Three=6, Four=9 Generation=5761 All guns dead
One=0, Two=0, Three=6, Four=10 Generation=320 4 guns alive
One=0, Two=0, Three=6, Four=11 Generation=4122 All guns dead
One=0, Two=0, Three=6, Four=12 Generation=3517 All guns dead
One=0, Two=0, Three=7, Four=0 Generation=3601 All guns dead
One=0, Two=0, Three=7, Four=1 Generation=4718 All guns dead
One=0, Two=0, Three=7, Four=2 Generation=2161 All guns dead
One=0, Two=0, Three=7, Four=3 Generation=7231 All guns dead
One=0, Two=0, Three=7, Four=4 Generation=9975 1 gun alive
One=0, Two=0, Three=7, Four=5 Generation=3968 All guns dead
One=0, Two=0, Three=7, Four=6 Generation=908 All guns dead
One=0, Two=0, Three=7, Four=7 Generation=2198 All guns dead
One=0, Two=0, Three=7, Four=8 Generation=3908 All guns dead
One=0, Two=0, Three=7, Four=9 Generation=3850 All guns dead
One=0, Two=0, Three=7, Four=10 Generation=4141 All guns dead
One=0, Two=0, Three=7, Four=11 Generation=2341 All guns dead
One=0, Two=0, Three=7, Four=12 Generation=7388 All guns dead
One=0, Two=0, Three=8, Four=0 Generation=1959 All guns dead
One=0, Two=0, Three=8, Four=1 Generation=1381 All guns dead
One=0, Two=0, Three=8, Four=2 Generation=3573 All guns dead
One=0, Two=0, Three=8, Four=3 Generation=5281 All guns dead
One=0, Two=0, Three=8, Four=4 Generation=265 4 guns alive
One=0, Two=0, Three=8, Four=5 Generation=5979 All guns dead
One=0, Two=0, Three=8, Four=6 Generation=1321 All guns dead
One=0, Two=0, Three=8, Four=7 Generation=3908 All guns dead
One=0, Two=0, Three=8, Four=8 Generation=2619 All guns dead
One=0, Two=0, Three=8, Four=9 Generation=1149 All guns dead
One=0, Two=0, Three=8, Four=10 Generation=3909 All guns dead
One=0, Two=0, Three=8, Four=11 Generation=3399 All guns dead
One=0, Two=0, Three=8, Four=12 Generation=2281 All guns dead
One=0, Two=0, Three=9, Four=0 Generation=1900 All guns dead
One=0, Two=0, Three=9, Four=1 Generation=2614 1 gun alive
One=0, Two=0, Three=9, Four=2 Generation=1761 1 gun alive
One=0, Two=0, Three=9, Four=3 Generation=1804 All guns dead
One=0, Two=0, Three=9, Four=4 Generation=2331 2 guns alive
One=0, Two=0, Three=9, Four=5 Generation=2226 All guns dead
One=0, Two=0, Three=9, Four=6 Generation=5761 All guns dead
One=0, Two=0, Three=9, Four=7 Generation=3850 All guns dead
One=0, Two=0, Three=9, Four=8 Generation=1149 All guns dead
One=0, Two=0, Three=9, Four=9 Generation=3760 All guns dead
One=0, Two=0, Three=9, Four=10 Generation=3434 2 guns alive
One=0, Two=0, Three=9, Four=11 Generation=3751 All guns dead
